author_id	Type	Lang	Stance
878054577291055104	Advocacy actors	en	For
2828579059	Journalistic actors	en	Unclear
5464872	Scientific actors	en	For
95375275	Private individuals	en	Unclear
1339166129110065152	Journalistic actors	en	Unclear
22751175	Journalistic actors	de	Unclear
176460155	Scientific actors	en	For
59109416	Advocacy actors	de	Unclear
164662932	Private individuals	en	For
590877236	Journalistic actors	es	Unclear
461619224	Business actors	en	For
500103511	Private individuals	fr	For
24899436	Political actors	fr	Unclear
104623441	Advocacy actors	en	For
468602078	Journalistic actors	en	Unclear
22039274	Business actors	en	For
62842816	Business actors	en	Unclear
1346854659303100421	Advocacy actors	en	Unclear
16416978	Political actors	en	Unclear
917421961	Advocacy actors	en	For
942752327999610880	Advocacy actors	es	For
795539440164892674	Advocacy actors	fr	For
432698909	Advocacy actors	en	For
15531964	Advocacy actors	de	For
1359024248245862402	Private individuals	en	Unclear
1308012103970816000	Advocacy actors	en	Unclear
208149728	Advocacy actors	en	For
879317848526643202	Advocacy actors	en	For
1673573035	Advocacy actors	en	For
3294157876	Political actors	en	For
1447581672082452481	Advocacy actors	en	For
39085195	Business actors	en	For
1042384937708646401	Business actors	en	For
372860400	Business actors	es	For
96750689	Advocacy actors	en	For
48378329	Advocacy actors	en	For
115099953	Political actors	en	Unclear
1332046125659004931	Political actors	en	For
540734980	Scientific actors	en	For
882957937064517632	Advocacy actors	en	For
171314974	Advocacy actors	en	Unclear
126681958	Scientific actors	en	Unclear
917760421209235456	Political actors	en	Unclear
2542132494	Advocacy actors	en	Unclear
2151066475	Political actors	en	For
59490293	Advocacy actors	en	For
1159850958622470144	Journalistic actors	en	For
604673372	Advocacy actors	en	Unclear
2350315591	Political actors	en	For
2831436531	Advocacy actors	en	Unclear
4122207653	Advocacy actors	en	For
2492350526	Unclear	en	For
115343708	Business actors	en	For
3332360097	Business actors	en	Unclear
1399363242	Business actors	es	Unclear
140679003	Private individuals	es	Unclear
4209769822	Unclear	N/A	Unclear
417856150	Scientific actors	en	For
368760126	Private individuals	en	For
2874183033	Advocacy actors	en	For
80656614	Advocacy actors	en	For
2912623005	Business actors	en	For
992729386574143488	Journalistic actors	en	For
281916835	Private individuals	en	For
1885716068	Private individuals	tr	For
117027784	Business actors	en	For
8447362	Advocacy actors	de	For
11162772	Advocacy actors	es	For
4008771	Advocacy actors	fr	For
